CoffeeName;Price;TimeOfDay;Weekday;MonthName
Latte;38,7;Morning;Fri;Mar
Hot Chocolate;38,7;Afternoon;Fri;Mar
Hot Chocolate;38,7;Afternoon;Fri;Mar
Americano;28,9;Afternoon;Fri;Mar
Latte;38,7;Afternoon;Fri;Mar
Americano with Milk;33,8;Afternoon;Fri;Mar
Hot Chocolate;38,7;Afternoon;Fri;Mar
Americano with Milk;33,8;Night;Fri;Mar
Cocoa;38,7;Night;Fri;Mar
Americano with Milk;33,8;Night;Fri;Mar
Americano with Milk;33,8;Night;Fri;Mar
Americano;28,9;Morning;Sat;Mar
Americano with Milk;33,8;Morning;Sat;Mar
Americano with Milk;33,8;Morning;Sat;Mar
Americano;28,9;Afternoon;Sat;Mar
Americano with Milk;33,8;Afternoon;Sat;Mar
Americano;28,9;Night;Sat;Mar
Latte;38,7;Morning;Sun;Mar
Cortado;28,9;Morning;Sun;Mar
Americano;28,9;Afternoon;Sun;Mar
Hot Chocolate;38,7;Afternoon;Sun;Mar
Cocoa;38,7;Night;Sun;Mar
Cortado;28,9;Night;Sun;Mar
Americano with Milk;33,8;Night;Sun;Mar
Americano with Milk;33,8;Night;Sun;Mar
Hot Chocolate;38,7;Night;Sun;Mar
Latte;38,7;Morning;Mon;Mar
Latte;38,7;Morning;Mon;Mar
Americano with Milk;33,8;Morning;Mon;Mar
Espresso;24;Afternoon;Mon;Mar
Latte;38,7;Morning;Tue;Mar
Latte;38,7;Afternoon;Tue;Mar
Latte;38,7;Night;Tue;Mar
Hot Chocolate;38,7;Night;Tue;Mar
Cocoa;38,7;Night;Tue;Mar
Hot Chocolate;38,7;Night;Tue;Mar
Hot Chocolate;38,7;Night;Tue;Mar
Cortado;28,9;Night;Tue;Mar
Hot Chocolate;38,7;Night;Tue;Mar
Americano;28,9;Afternoon;Wed;Mar
Cortado;28,9;Afternoon;Wed;Mar
Cappuccino;38,7;Afternoon;Wed;Mar
Cappuccino;38,7;Afternoon;Wed;Mar
Hot Chocolate;38,7;Morning;Thu;Mar
Latte;38,7;Morning;Thu;Mar
Americano;28,9;Afternoon;Thu;Mar
Americano with Milk;33,8;Afternoon;Thu;Mar
Cortado;28,9;Morning;Fri;Mar
Cappuccino;38,7;Afternoon;Fri;Mar
Americano;28,9;Afternoon;Fri;Mar
Americano;28,9;Afternoon;Fri;Mar
Americano;28,9;Afternoon;Fri;Mar
Americano with Milk;33,8;Afternoon;Fri;Mar
Latte;38,7;Night;Fri;Mar
Latte;38,7;Night;Fri;Mar
Espresso;24;Afternoon;Sat;Mar
Americano;28,9;Afternoon;Sat;Mar
Cappuccino;38,7;Afternoon;Sat;Mar
Americano;28,9;Afternoon;Sat;Mar
Americano;28,9;Afternoon;Sat;Mar
Latte;38,7;Afternoon;Sat;Mar
Americano with Milk;33,8;Afternoon;Sat;Mar
Cortado;28,9;Afternoon;Sat;Mar
Cappuccino;38,7;Afternoon;Sat;Mar
Americano with Milk;33,8;Afternoon;Sat;Mar
Hot Chocolate;38,7;Afternoon;Sat;Mar
Cappuccino;38,7;Night;Sat;Mar
Hot Chocolate;38,7;Night;Sat;Mar
Espresso;24;Morning;Sun;Mar
Latte;38,7;Night;Sun;Mar
Cortado;28,9;Night;Sun;Mar
Cappuccino;38,7;Morning;Mon;Mar
Americano;28,9;Afternoon;Mon;Mar
Latte;38,7;Afternoon;Mon;Mar
Cortado;28,9;Afternoon;Mon;Mar
Americano;28,9;Morning;Tue;Mar
Cortado;28,9;Morning;Tue;Mar
Hot Chocolate;38,7;Morning;Tue;Mar
Americano with Milk;33,8;Afternoon;Tue;Mar
Americano;28,9;Afternoon;Tue;Mar
Americano;28,9;Afternoon;Tue;Mar
Hot Chocolate;38,7;Morning;Wed;Mar
Americano;28,9;Morning;Wed;Mar
Americano;28,9;Afternoon;Wed;Mar
Americano;28,9;Afternoon;Wed;Mar
Americano with Milk;33,8;Afternoon;Wed;Mar
Espresso;24;Afternoon;Wed;Mar
Espresso;24;Afternoon;Wed;Mar
Espresso;24;Afternoon;Wed;Mar
Latte;38,7;Morning;Thu;Mar
Hot Chocolate;38,7;Morning;Thu;Mar
Cortado;28,9;Afternoon;Thu;Mar
Americano;28,9;Afternoon;Thu;Mar
Americano with Milk;33,8;Afternoon;Thu;Mar
Espresso;24;Afternoon;Thu;Mar
Latte;38,7;Afternoon;Thu;Mar
Americano with Milk;33,8;Afternoon;Thu;Mar
Espresso;24;Afternoon;Thu;Mar
Hot Chocolate;38,7;Night;Thu;Mar
Cortado;28,9;Night;Thu;Mar
Hot Chocolate;38,7;Morning;Fri;Mar
Americano;28,9;Night;Fri;Mar
